timestamp	closed	open	lead_time	lead_time_sample	closed_issues
2018-01-28T01:18:02Z	0	1	0.0	nan	
2018-01-28T01:20:23Z	0	1	0.0016319444444444445	0.0016319444444444445	1
2018-02-21T11:53:40Z	1	1	24.441412037037036	nan	
2018-02-21T12:21:28Z	1	1	24.46071759259259	0.019305555555555555	2
2018-02-21T12:39:48Z	2	1	0.03203703703703704	nan	
2018-02-21T12:40:23Z	2	2	0.032442129629629626	nan	
2018-02-21T12:42:03Z	2	3	0.03359953703703704	nan	
2018-02-21T16:06:07Z	2	4	0.1753125	nan	
2018-02-21T16:44:02Z	2	4	0.20164351851851853	0.0971875	6,5
2018-07-04T21:41:24Z	4	3	133.3757060185185	nan	
2018-07-05T03:20:55Z	4	4	133.6114814814815	nan	
2018-07-10T10:28:46Z	4	4	138.90859953703705	5.297118055555556	8
2018-07-10T10:29:28Z	5	3	138.90792824074074	5.533379629629629	7
2018-07-10T13:14:42Z	6	3	138.88096064814815	nan	
2018-07-10T15:26:23Z	6	3	138.97240740740742	0.09144675925925926	9
2018-07-16T08:30:02Z	7	3	11.450439814814814	nan	
2018-10-18T15:27:23Z	7	4	105.7402662037037	nan	
2018-11-21T08:06:47Z	7	5	139.4342939814815	nan	
2018-11-22T14:32:31Z	7	5	140.70216435185185	1.2678703703703704	12
2019-04-23T18:21:59Z	8	4	292.62574074074075	187.12125	11
2019-04-23T19:41:51Z	9	4	287.26885416666664	nan	
2019-08-19T09:17:31Z	9	5	404.8352893518518	nan	
2019-09-20T17:35:37Z	9	6	437.1811921296296	nan	
2019-09-30T13:50:44Z	9	6	447.02502314814814	9.843831018518518	15
2019-10-25T18:16:21Z	10	5	466.40716435185186	184.940625	13
2019-10-25T18:27:31Z	11	4	372.1250925925926	67.38194444444444	14
2019-12-07T00:53:21Z	12	4	380.69900462962966	nan	
2019-12-07T14:35:44Z	12	4	381.27010416666667	0.5710995370370371	16
2020-02-04T15:05:27Z	13	4	286.80805555555554	nan	
2020-03-04T20:47:44Z	13	5	316.0457523148148	nan	
2020-03-05T11:55:21Z	13	5	316.67604166666666	15.24913773148148	19,18
2020-04-06T12:58:26Z	15	4	198.80751157407408	nan	
2020-05-07T14:28:28Z	15	5	229.87003472222221	nan	
2020-05-24T22:06:00Z	15	6	247.18776620370372	nan	
2020-05-25T15:50:35Z	15	7	247.92706018518518	nan	
2020-05-25T16:08:58Z	15	7	247.9398263888889	824.1448495370371	4
2020-05-25T16:12:33Z	16	7	170.63833333333332	nan	
2020-05-26T22:30:03Z	16	7	171.90048611111112	1.6394270833333333	24,22
2020-05-26T22:30:45Z	18	5	83.07153935185185	50.39744212962963	20
2020-06-15T15:27:12Z	19	5	70.10331018518518	nan	
2020-06-15T15:51:28Z	19	5	70.12016203703703	10.508732638888889	25,23
2020-07-18T15:12:37Z	21	4	54.71292824074074	nan	
2020-07-20T17:40:59Z	21	5	56.81596064814815	nan	
2020-07-20T21:24:23Z	21	6	56.971099537037034	nan	
2020-07-21T11:57:10Z	21	7	57.57719907407407	nan	
2020-07-21T11:59:45Z	21	7	57.57899305555556	0.0017939814814814815	29
2020-07-21T17:40:01Z	22	7	57.07599537037037	nan	
2020-07-21T18:05:07Z	22	7	57.09342592592593	0.6319367283950618	30,28,27
2020-08-01T01:16:51Z	25	5	13.419606481481482	nan	
2020-08-26T20:16:17Z	25	6	39.21087962962963	nan	
2020-09-18T14:01:54Z	25	6	61.950891203703705	22.740011574074074	32
2020-09-18T14:43:51Z	26	6	59.87699074074074	nan	
2020-10-02T15:30:14Z	26	7	73.90920138888889	nan	
2020-10-15T18:40:09Z	26	7	87.04108796296296	27.16409722222222	33
2020-10-15T19:50:13Z	27	7	86.93460648148148	nan	
2020-10-21T13:11:49Z	27	7	92.65793981481481	5.723333333333334	35
2020-10-21T13:12:38Z	28	6	92.0524074074074	18.904444444444444	34
2020-10-21T13:12:43Z	29	5	91.814375	94.9167361111111	26
2020-10-23T15:37:40Z	30	5	83.59778935185186	nan	
2020-11-03T13:05:17Z	30	5	94.49196759259259	95.41820601851852	36,21
2020-11-12T02:46:30Z	32	4	54.50184027777778	nan	
2021-03-29T12:29:44Z	32	5	191.90686342592593	nan	
2021-06-14T21:25:42Z	32	6	269.2790625	nan	
2021-06-14T21:29:30Z	32	7	269.2817013888889	nan	
2022-04-28T15:41:30Z	32	8	587.0400347222222	nan	
2022-04-28T15:48:19Z	32	9	587.0447685185185	nan	
2022-06-24T12:58:21Z	32	10	643.9267361111112	nan	
2022-07-21T21:26:17Z	32	11	671.2794675925926	nan	
2022-07-26T09:38:46Z	32	12	675.7881365740741	nan	
2022-07-26T13:58:21Z	32	13	675.9684027777778	nan	
2022-07-26T14:45:50Z	32	13	676.0013773148148	0.03297453703703704	46
2022-08-01T17:34:01Z	33	12	668.0859606481481	6.330034722222222	45
2022-08-01T17:34:02Z	34	11	654.9054282407408	10.838715277777778	44
2022-08-01T17:34:03Z	35	10	647.0808217592593	225.51397569444444	43,40
2022-08-01T17:34:42Z	37	8	490.2117824074074	730.6790625	31
2022-08-01T17:35:18Z	38	8	412.84	nan	
2022-08-01T17:40:11Z	38	9	412.84339120370373	nan	
2022-08-02T11:58:29Z	38	10	413.60609953703704	nan	
2022-08-03T13:49:47Z	38	10	414.6833912037037	1.0772916666666668	49
2022-08-03T13:49:48Z	39	9	414.68076388888886	1.8400115740740741	48
2022-08-05T15:47:13Z	40	9	99.00396990740741	nan	
2022-09-01T12:19:16Z	40	10	125.85956018518519	nan	
2022-09-26T07:15:53Z	40	10	150.64887731481483	24.78931712962963	51
2022-11-09T13:03:53Z	41	10	194.8858101851852	nan	
2022-11-28T18:13:48Z	41	11	214.1010300925926	nan	
2022-12-02T18:53:02Z	41	11	218.12827546296296	4.027245370370371	53
2023-01-12T13:54:40Z	42	10	202.0391087962963	64.0352662037037	52
